
    BRCODE,     BCODE,BRNAME                                  ,BRADD
----------,----------,----------------------------------------,--------------------------------------------------------------------------------
      4151,        11,문화전당지점                            ,광주 동구 문화전당로26번길 16
      1040,        11,지산동지점                              ,광주 동구 지산로 73-1
      4221,        34,문화전당지점                            ,광주 동구 서석로 42 1층
      3861,        34,조선대지점                              ,광주 동구 필문대로 309
      2100,        88,광주지점                                ,광주 북구 금남로 133
